key, propensity, propensity^2, count, pos, neg
?A, 0      , 0      ,        2,        0,        2
?C, 1      , 1      ,        1,        1,        0
?D, 1      , 1      ,        1,        1,        0
?G, 0.66667, 0.44444,        3,        2,        1
?I, 0      , 0      ,        2,        0,        2
?L, 0      , 0      ,        1,        0,        1
?R, 0      , 0      ,        1,        0,        1
?S, 0.5    , 0.25   ,        2,        1,        1
?T, 1      , 1      ,        1,        1,        0
?V, 0      , 0      ,        1,        0,        1
?Y, 0      , 0      ,        1,        0,        1
A?, 0      , 0      ,        3,        0,        3
AA, 0.04595, 0.00211,      740,       34,      706
AC, 0.13462, 0.01812,      104,       14,       90
AD, 0.04386, 0.00192,      456,       20,      436
AE, 0.02424, 0.00059,      495,       12,      483
AF, 0.07819, 0.00611,      243,       19,      224
AG, 0.10339, 0.01069,      590,       61,      529
AH, 0.08025, 0.00644,      162,       13,      149
AI, 0.08012, 0.00642,      337,       27,      310
AK, 0.03704, 0.00137,      459,       17,      442
AL, 0.04863, 0.00237,      658,       32,      626
AM, 0.07639, 0.00584,      144,       11,      133
AN, 0.07927, 0.00628,      328,       26,      302
AP, 0.07772, 0.00604,      386,       30,      356
AQ, 0.04962, 0.00246,      262,       13,      249
AR, 0.06233, 0.00389,      369,       23,      346
AS, 0.08411, 0.00707,      428,       36,      392
AT, 0.07212, 0.0052 ,      416,       30,      386
AV, 0.05906, 0.00349,      491,       29,      462
AW, 0.06977, 0.00487,       86,        6,       80
AY, 0.06787, 0.00461,      221,       15,      206
A_, 0      , 0      ,       52,        0,       52
CA, 0.25263, 0.06382,       95,       24,       71
CC, 0.1    , 0.01   ,       20,        2,       18
CD, 0.1    , 0.01   ,       70,        7,       63
CE, 0.09259, 0.00857,       54,        5,       49
CF, 0.21212, 0.045  ,       33,        7,       26
CG, 0.21348, 0.04558,       89,       19,       70
CH, 0.4    , 0.16   ,       45,       18,       27
CI, 0.12766, 0.0163 ,       47,        6,       41
CK, 0.14634, 0.02142,       41,        6,       35
CL, 0.18421, 0.03393,       76,       14,       62
CM, 0.10526, 0.01108,       19,        2,       17
CN, 0.16216, 0.0263 ,       37,        6,       31
CP, 0.10938, 0.01196,       64,        7,       57
CQ, 0.15789, 0.02493,       38,        6,       32
CR, 0.06   , 0.0036 ,       50,        3,       47
CS, 0.18571, 0.03449,       70,       13,       57
CT, 0.16667, 0.02778,       72,       12,       60
CV, 0.14545, 0.02116,       55,        8,       47
CW, 0.2    , 0.04   ,       10,        2,        8
CY, 0.08333, 0.00694,       36,        3,       33
C_, 0      , 0      ,        3,        0,        3
DA, 0.09397, 0.00883,      564,       53,      511
DC, 0.14286, 0.02041,      105,       15,       90
DD, 0.07988, 0.00638,      338,       27,      311
DE, 0.06281, 0.00395,      398,       25,      373
DF, 0.07619, 0.0058 ,      315,       24,      291
DG, 0.13294, 0.01767,      504,       67,      437
DH, 0.09353, 0.00875,      139,       13,      126
DI, 0.10327, 0.01067,      397,       41,      356
DK, 0.02833, 0.0008 ,      353,       10,      343
DL, 0.06644, 0.00441,      587,       39,      548
DM, 0.08228, 0.00677,      158,       13,      145
DN, 0.09055, 0.0082 ,      254,       23,      231
DP, 0.04822, 0.00233,      394,       19,      375
DQ, 0.08252, 0.00681,      206,       17,      189
DR, 0.07034, 0.00495,      327,       23,      304
DS, 0.11662, 0.0136 ,      343,       40,      303
DT, 0.10571, 0.01118,      350,       37,      313
DV, 0.08866, 0.00786,      485,       43,      442
DW, 0.08403, 0.00706,      119,       10,      109
DY, 0.07664, 0.00587,      274,       21,      253
D_, 0      , 0      ,       18,        0,       18
EA, 0.05096, 0.0026 ,      628,       32,      596
EC, 0.13187, 0.01739,       91,       12,       79
ED, 0.04358, 0.0019 ,      413,       18,      395
EE, 0.03172, 0.00101,      536,       17,      519
EF, 0.05705, 0.00325,      298,       17,      281
EG, 0.10282, 0.01057,      496,       51,      445
EH, 0.10429, 0.01088,      163,       17,      146
EI, 0.07094, 0.00503,      437,       31,      406
EK, 0.03376, 0.00114,      474,       16,      458
EL, 0.05216, 0.00272,      671,       35,      636
EM, 0.08383, 0.00703,      167,       14,      153
EN, 0.08869, 0.00787,      327,       29,      298
EP, 0.05373, 0.00289,      335,       18,      317
EQ, 0.01875, 0.00035,      320,        6,      314
ER, 0.04304, 0.00185,      395,       17,      378
ES, 0.05067, 0.00257,      375,       19,      356
ET, 0.08223, 0.00676,      377,       31,      346
EV, 0.06522, 0.00425,      506,       33,      473
EW, 0.12097, 0.01463,      124,       15,      109
EY, 0.05856, 0.00343,      222,       13,      209
E_, 0.03448, 0.00119,       29,        1,       28
FA, 0.16667, 0.02778,      264,       44,      220
FC, 0.14583, 0.02127,       48,        7,       41
FD, 0.15414, 0.02376,      266,       41,      225
FE, 0.07692, 0.00592,      234,       18,      216
FF, 0.19231, 0.03698,      130,       25,      105
FG, 0.14366, 0.02064,      355,       51,      304
FH, 0.1875 , 0.03516,       96,       18,       78
FI, 0.17568, 0.03086,      148,       26,      122
FK, 0.06771, 0.00458,      192,       13,      179
FL, 0.14607, 0.02134,      267,       39,      228
FM, 0.14474, 0.02095,       76,       11,       65
FN, 0.125  , 0.01562,      176,       22,      154
FP, 0.15556, 0.0242 ,      225,       35,      190
FQ, 0.16031, 0.0257 ,      131,       21,      110
FR, 0.10938, 0.01196,      192,       21,      171
FS, 0.16667, 0.02778,      222,       37,      185
FT, 0.15079, 0.02274,      252,       38,      214
FV, 0.13964, 0.0195 ,      222,       31,      191
FW, 0.1875 , 0.03516,       48,        9,       39
FY, 0.16038, 0.02572,      106,       17,       89
F_, 0      , 0      ,       14,        0,       14
G?, 0      , 0      ,        3,        0,        3
GA, 0.10208, 0.01042,      578,       59,      519
GC, 0.16129, 0.02601,       93,       15,       78
GD, 0.0771 , 0.00594,      441,       34,      407
GE, 0.0782 , 0.00612,      422,       33,      389
GF, 0.0991 , 0.00982,      333,       33,      300
GG, 0.21273, 0.04526,      644,      137,      507
GH, 0.13253, 0.01756,      166,       22,      144
GI, 0.1257 , 0.0158 ,      358,       45,      313
GK, 0.05765, 0.00332,      451,       26,      425
GL, 0.09539, 0.0091 ,      608,       58,      550
GM, 0.1125 , 0.01266,      160,       18,      142
GN, 0.07735, 0.00598,      362,       28,      334
GP, 0.08136, 0.00662,      381,       31,      350
GQ, 0.07721, 0.00596,      272,       21,      251
GR, 0.09659, 0.00933,      352,       34,      318
GS, 0.12916, 0.01668,      511,       66,      445
GT, 0.121  , 0.01464,      438,       53,      385
GV, 0.12579, 0.01582,      477,       60,      417
GW, 0.1    , 0.01   ,      110,       11,       99
GY, 0.10409, 0.01083,      269,       28,      241
G_, 0      , 0      ,       41,        0,       41
H?, 0      , 0      ,        1,        0,        1
HA, 0.20853, 0.04349,      211,       44,      167
HC, 0.36   , 0.1296 ,       50,       18,       32
HD, 0.14599, 0.02131,      137,       20,      117
HE, 0.14465, 0.02092,      159,       23,      136
HF, 0.14783, 0.02185,      115,       17,       98
HG, 0.20673, 0.04274,      208,       43,      165
HH, 0.17333, 0.03004,       75,       13,       62
HI, 0.14493, 0.021  ,      138,       20,      118
HK, 0.17037, 0.02903,      135,       23,      112
HL, 0.14407, 0.02076,      236,       34,      202
HM, 0.14925, 0.02228,       67,       10,       57
HN, 0.20213, 0.04086,       94,       19,       75
HP, 0.12593, 0.01586,      135,       17,      118
HQ, 0.17308, 0.02996,      104,       18,       86
HR, 0.14286, 0.02041,      133,       19,      114
HS, 0.22973, 0.05278,      148,       34,      114
HT, 0.23448, 0.05498,      145,       34,      111
HV, 0.11538, 0.01331,      182,       21,      161
HW, 0.23404, 0.05478,       47,       11,       36
HY, 0.19565, 0.03828,       92,       18,       74
H_, 0      , 0      ,       10,        0,       10
I?, 0      , 0      ,        1,        0,        1
IA, 0.08596, 0.00739,      349,       30,      319
IC, 0.08333, 0.00694,       48,        4,       44
ID, 0.09603, 0.00922,      302,       29,      273
IE, 0.07395, 0.00547,      311,       23,      288
IF, 0.09459, 0.00895,      148,       14,      134
IG, 0.14286, 0.02041,      392,       56,      336
IH, 0.06897, 0.00476,       87,        6,       81
II, 0.07538, 0.00568,      199,       15,      184
IK, 0.09312, 0.00867,      247,       23,      224
IL, 0.09938, 0.00988,      322,       32,      290
IM, 0.12222, 0.01494,       90,       11,       79
IN, 0.10256, 0.01052,      195,       20,      175
IP, 0.08898, 0.00792,      236,       21,      215
IQ, 0.09036, 0.00817,      166,       15,      151
IR, 0.08213, 0.00674,      207,       17,      190
IS, 0.11224, 0.0126 ,      294,       33,      261
IT, 0.09623, 0.00926,      239,       23,      216
IV, 0.10566, 0.01116,      265,       28,      237
IW, 0.04762, 0.00227,       42,        2,       40
IY, 0.07194, 0.00518,      139,       10,      129
I_, 0      , 0      ,       15,        0,       15
KA, 0.05609, 0.00315,      624,       35,      589
KC, 0.15873, 0.0252 ,       63,       10,       53
KD, 0.05882, 0.00346,      357,       21,      336
KE, 0.03983, 0.00159,      477,       19,      458
KF, 0.06584, 0.00434,      243,       16,      227
KG, 0.09671, 0.00935,      517,       50,      467
KH, 0.14286, 0.02041,      140,       20,      120
KI, 0.07429, 0.00552,      350,       26,      324
KK, 0.06098, 0.00372,      410,       25,      385
KL, 0.0469 , 0.0022 ,      597,       28,      569
KM, 0.08075, 0.00652,      161,       13,      148
KN, 0.06569, 0.00432,      274,       18,      256
KP, 0.08621, 0.00743,      290,       25,      265
KQ, 0.04781, 0.00229,      251,       12,      239
KR, 0.06618, 0.00438,      272,       18,      254
KS, 0.08832, 0.0078 ,      351,       31,      320
KT, 0.10836, 0.01174,      323,       35,      288
KV, 0.07658, 0.00586,      444,       34,      410
KW, 0.07018, 0.00492,      114,        8,      106
KY, 0.07843, 0.00615,      255,       20,      235
K_, 0      , 0      ,       33,        0,       33
L?, 0      , 0      ,        2,        0,        2
LA, 0.08957, 0.00802,      681,       61,      620
LC, 0.20238, 0.04096,       84,       17,       67
