key, propensity, propensity^2, count, pos, neg
?A, 0      , 0      ,        1,        0,        1
?D, 0      , 0      ,        1,        0,        1
AA, 0.04484, 0.00201,     2208,       99,     2109
AC, 0.06083, 0.0037 ,      411,       25,      386
AD, 0.04268, 0.00182,     1570,       67,     1503
AE, 0.04309, 0.00186,     1926,       83,     1843
AF, 0.08663, 0.0075 ,      935,       81,      854
AG, 0.06243, 0.0039 ,     1746,      109,     1637
AH, 0.056  , 0.00314,      500,       28,      472
AI, 0.05991, 0.00359,     1352,       81,     1271
AK, 0.03844, 0.00148,     1587,       61,     1526
AL, 0.04837, 0.00234,     2481,      120,     2361
AM, 0.03883, 0.00151,      618,       24,      594
AN, 0.04834, 0.00234,     1117,       54,     1063
AP, 0.04072, 0.00166,     1228,       50,     1178
AQ, 0.04903, 0.0024 ,     1183,       58,     1125
AR, 0.03435, 0.00118,     1281,       44,     1237
AS, 0.04436, 0.00197,     1668,       74,     1594
AT, 0.04918, 0.00242,     1403,       69,     1334
AV, 0.04962, 0.00246,     1713,       85,     1628
AW, 0.05776, 0.00334,      277,       16,      261
AY, 0.0651 , 0.00424,      768,       50,      718
A_, 0.02564, 0.00066,      156,        4,      152
CA, 0.06948, 0.00483,      403,       28,      375
CC, 0.12838, 0.01648,      148,       19,      129
CD, 0.07179, 0.00515,      390,       28,      362
CE, 0.05176, 0.00268,      425,       22,      403
CF, 0.05769, 0.00333,      260,       15,      245
CG, 0.11422, 0.01305,      464,       53,      411
CH, 0.07865, 0.00619,      178,       14,      164
CI, 0.09756, 0.00952,      328,       32,      296
CK, 0.03896, 0.00152,      385,       15,      370
CL, 0.06091, 0.00371,      591,       36,      555
CM, 0.07018, 0.00492,      114,        8,      106
CN, 0.03716, 0.00138,      296,       11,      285
CP, 0.07479, 0.00559,      361,       27,      334
CQ, 0.05902, 0.00348,      305,       18,      287
CR, 0.05413, 0.00293,      351,       19,      332
CS, 0.04762, 0.00227,      441,       21,      420
CT, 0.0679 , 0.00461,      324,       22,      302
CV, 0.09231, 0.00852,      390,       36,      354
CW, 0.09459, 0.00895,       74,        7,       67
CY, 0.12245, 0.01499,      245,       30,      215
C_, 0.04348, 0.00189,       23,        1,       22
D?, 0      , 0      ,        1,        0,        1
DA, 0.04647, 0.00216,     1872,       87,     1785
DC, 0.10213, 0.01043,      470,       48,      422
DD, 0.07566, 0.00572,     1520,      115,     1405
DE, 0.07466, 0.00557,     1902,      142,     1760
DF, 0.06211, 0.00386,     1288,       80,     1208
DG, 0.05664, 0.00321,     2101,      119,     1982
DH, 0.07238, 0.00524,      525,       38,      487
DI, 0.05735, 0.00329,     1761,      101,     1660
DK, 0.04251, 0.00181,     1835,       78,     1757
DL, 0.0541 , 0.00293,     2717,      147,     2570
DM, 0.06617, 0.00438,      665,       44,      621
DN, 0.05502, 0.00303,     1145,       63,     1082
DP, 0.04949, 0.00245,     1475,       73,     1402
DQ, 0.0547 , 0.00299,     1042,       57,      985
DR, 0.05443, 0.00296,     1378,       75,     1303
DS, 0.0592 , 0.0035 ,     1740,      103,     1637
DT, 0.05556, 0.00309,     1440,       80,     1360
DV, 0.0618 , 0.00382,     1958,      121,     1837
DW, 0.07524, 0.00566,      412,       31,      381
DY, 0.06975, 0.00486,     1147,       80,     1067
D_, 0.03509, 0.00123,      114,        4,      110
EA, 0.04877, 0.00238,     2440,      119,     2321
EC, 0.0696 , 0.00484,      546,       38,      508
ED, 0.06204, 0.00385,     1918,      119,     1799
EE, 0.04585, 0.0021 ,     2661,      122,     2539
EF, 0.06995, 0.00489,     1301,       91,     1210
EG, 0.04854, 0.00236,     2122,      103,     2019
