key, propensity, propensity^2, count, pos, neg
?A, 0      , 0      ,        1,        0,        1
?D, 0      , 0      ,        1,        0,        1
AA, 0.04983, 0.00248,     1786,       89,     1697
AC, 0.0614 , 0.00377,      342,       21,      321
AD, 0.04276, 0.00183,     1263,       54,     1209
AE, 0.04777, 0.00228,     1570,       75,     1495
AF, 0.08184, 0.0067 ,      782,       64,      718
AG, 0.06299, 0.00397,     1397,       88,     1309
AH, 0.0481 , 0.00231,      395,       19,      376
AI, 0.05989, 0.00359,     1102,       66,     1036
AK, 0.04279, 0.00183,     1262,       54,     1208
AL, 0.04789, 0.00229,     1963,       94,     1869
AM, 0.04158, 0.00173,      505,       21,      484
AN, 0.0455 , 0.00207,      901,       41,      860
AP, 0.04032, 0.00163,      992,       40,      952
AQ, 0.05047, 0.00255,      951,       48,      903
AR, 0.03612, 0.0013 ,     1052,       38,     1014
AS, 0.04498, 0.00202,     1334,       60,     1274
AT, 0.05096, 0.0026 ,     1099,       56,     1043
AV, 0.05229, 0.00273,     1396,       73,     1323
AW, 0.06222, 0.00387,      225,       14,      211
AY, 0.0629 , 0.00396,      620,       39,      581
A_, 0.0155 , 0.00024,      129,        2,      127
CA, 0.06845, 0.00469,      336,       23,      313
CC, 0.13675, 0.0187 ,      117,       16,      101
CD, 0.07837, 0.00614,      319,       25,      294
CE, 0.04971, 0.00247,      342,       17,      325
CF, 0.04695, 0.0022 ,      213,       10,      203
CG, 0.11528, 0.01329,      373,       43,      330
CH, 0.06122, 0.00375,      147,        9,      138
CI, 0.0916 , 0.00839,      262,       24,      238
CK, 0.03257, 0.00106,      307,       10,      297
CL, 0.06681, 0.00446,      479,       32,      447
CM, 0.07216, 0.00521,       97,        7,       90
CN, 0.03448, 0.00119,      232,        8,      224
CP, 0.06601, 0.00436,      303,       20,      283
CQ, 0.06375, 0.00406,      251,       16,      235
CR, 0.0493 , 0.00243,      284,       14,      270
CS, 0.05   , 0.0025 ,      340,       17,      323
CT, 0.06844, 0.00468,      263,       18,      245
CV, 0.09718, 0.00944,      319,       31,      288
CW, 0.09434, 0.0089 ,       53,        5,       48
CY, 0.11881, 0.01412,      202,       24,      178
C_, 0.05263, 0.00277,       19,        1,       18
D?, 0      , 0      ,        1,        0,        1
DA, 0.04714, 0.00222,     1485,       70,     1415
DC, 0.11518, 0.01327,      382,       44,      338
DD, 0.08062, 0.0065 ,     1228,       99,     1129
DE, 0.07102, 0.00504,     1563,      111,     1452
DF, 0.06019, 0.00362,     1030,       62,      968
DG, 0.0591 , 0.00349,     1692,      100,     1592
DH, 0.06697, 0.00449,      433,       29,      404
DI, 0.05899, 0.00348,     1407,       83,     1324
DK, 0.04287, 0.00184,     1493,       64,     1429
DL, 0.05558, 0.00309,     2177,      121,     2056
DM, 0.06985, 0.00488,      544,       38,      506
DN, 0.05044, 0.00254,      912,       46,      866
DP, 0.04938, 0.00244,     1215,       60,     1155
DQ, 0.05012, 0.00251,      838,       42,      796
DR, 0.06323, 0.004  ,     1107,       70,     1037
DS, 0.05848, 0.00342,     1385,       81,     1304
DT, 0.05512, 0.00304,     1161,       64,     1097
DV, 0.06554, 0.0043 ,     1602,      105,     1497
DW, 0.07283, 0.0053 ,      357,       26,      331
DY, 0.07684, 0.0059 ,      937,       72,      865
D_, 0.03158, 0.001  ,       95,        3,       92
EA, 0.05457, 0.00298,     1979,      108,     1871
EC, 0.07273, 0.00529,      440,       32,      408
ED, 0.06013, 0.00362,     1580,       95,     1485
EE, 0.04344, 0.00189,     2118,       92,     2026
EF, 0.06829, 0.00466,     1069,       73,      996
EG, 0.05044, 0.00254,     1705,       86,     1619
