key, propensity, propensity^2, count, pos, neg
ALA, 0.04827, 0.00233,    14521,      701,    13820
CYS, 0.06958, 0.00484,     3636,      253,     3383
ASP, 0.05855, 0.00343,    15968,      935,    15033
GLU, 0.0511 , 0.00261,    18884,      965,    17919
PHE, 0.10646, 0.01133,     9262,      986,     8276
GLY, 0.05088, 0.00259,    15329,      780,    14549
HIS, 0.08924, 0.00796,     6107,      545,     5562
ILE, 0.07313, 0.00535,    11692,      855,    10837
LYS, 0.0525 , 0.00276,    17163,      901,    16262
LEU, 0.06732, 0.00453,    19949,     1343,    18606
MET, 0.09022, 0.00814,     5010,      452,     4558
ASN, 0.06155, 0.00379,    12397,      763,    11634
PRO, 0.04241, 0.0018 ,    12214,      518,    11696
GLN, 0.06012, 0.00361,    11361,      683,    10678
ARG, 0.07976, 0.00636,    14130,     1127,    13003
SER, 0.05427, 0.00295,    16197,      879,    15318
THR, 0.05281, 0.00279,    13690,      723,    12967
VAL, 0.06553, 0.00429,    14070,      922,    13148
TRP, 0.14055, 0.01975,     3344,      470,     2874
TYR, 0.11917, 0.0142 ,     9524,     1135,     8389
