key, propensity, propensity^2, count, pos, neg
?A, 0      , 0      ,        1,        0,        1
?D, 0      , 0      ,        1,        0,        1
AA, 0.0451 , 0.00203,     2461,      111,     2350
AC, 0.06264, 0.00392,      447,       28,      419
AD, 0.04252, 0.00181,     1764,       75,     1689
AE, 0.04175, 0.00174,     2108,       88,     2020
AF, 0.08451, 0.00714,     1065,       90,      975
AG, 0.05834, 0.0034 ,     1937,      113,     1824
AH, 0.05311, 0.00282,      546,       29,      517
AI, 0.05948, 0.00354,     1513,       90,     1423
AK, 0.03866, 0.00149,     1785,       69,     1716
AL, 0.04685, 0.0022 ,     2732,      128,     2604
AM, 0.03785, 0.00143,      687,       26,      661
AN, 0.04524, 0.00205,     1260,       57,     1203
AP, 0.04265, 0.00182,     1360,       58,     1302
AQ, 0.04726, 0.00223,     1312,       62,     1250
AR, 0.03404, 0.00116,     1410,       48,     1362
AS, 0.04406, 0.00194,     1861,       82,     1779
AT, 0.0513 , 0.00263,     1540,       79,     1461
AV, 0.049  , 0.0024 ,     1898,       93,     1805
AW, 0.05329, 0.00284,      319,       17,      302
AY, 0.06366, 0.00405,      864,       55,      809
A_, 0.02312, 0.00053,      173,        4,      169
CA, 0.07094, 0.00503,      437,       31,      406
CC, 0.10795, 0.01165,      176,       19,      157
CD, 0.06527, 0.00426,      429,       28,      401
CE, 0.04651, 0.00216,      473,       22,      451
CF, 0.06228, 0.00388,      289,       18,      271
CG, 0.10878, 0.01183,      524,       57,      467
CH, 0.08293, 0.00688,      205,       17,      188
CI, 0.09485, 0.009  ,      369,       35,      334
CK, 0.03589, 0.00129,      418,       15,      403
CL, 0.05745, 0.0033 ,      644,       37,      607
CM, 0.064  , 0.0041 ,      125,        8,      117
CN, 0.03604, 0.0013 ,      333,       12,      321
CP, 0.06846, 0.00469,      409,       28,      381
CQ, 0.06213, 0.00386,      338,       21,      317
CR, 0.06549, 0.00429,      397,       26,      371
CS, 0.04888, 0.00239,      491,       24,      467
CT, 0.06989, 0.00488,      372,       26,      346
CV, 0.08407, 0.00707,      452,       38,      414
CW, 0.10227, 0.01046,       88,        9,       79
CY, 0.12364, 0.01529,      275,       34,      241
C_, 0.03571, 0.00128,       28,        1,       27
D?, 0      , 0      ,        1,        0,        1
DA, 0.0478 , 0.00228,     2092,      100,     1992
DC, 0.09488, 0.009  ,      527,       50,      477
DD, 0.07314, 0.00535,     1668,      122,     1546
DE, 0.07385, 0.00545,     2126,      157,     1969
DF, 0.05996, 0.0036 ,     1451,       87,     1364
DG, 0.05818, 0.00339,     2303,      134,     2169
DH, 0.0804 , 0.00646,      597,       48,      549
DI, 0.05392, 0.00291,     1966,      106,     1860
DK, 0.04115, 0.00169,     2090,       86,     2004
DL, 0.05572, 0.0031 ,     3051,      170,     2881
DM, 0.06649, 0.00442,      737,       49,      688
DN, 0.05488, 0.00301,     1312,       72,     1240
DP, 0.05113, 0.00261,     1643,       84,     1559
DQ, 0.05541, 0.00307,     1155,       64,     1091
DR, 0.05029, 0.00253,     1551,       78,     1473
DS, 0.05747, 0.0033 ,     1949,      112,     1837
DT, 0.05354, 0.00287,     1625,       87,     1538
DV, 0.05965, 0.00356,     2196,      131,     2065
DW, 0.07826, 0.00612,      460,       36,      424
DY, 0.07099, 0.00504,     1310,       93,     1217
D_, 0.03175, 0.00101,      126,        4,      122
EA, 0.04927, 0.00243,     2679,      132,     2547
EC, 0.06829, 0.00466,      615,       42,      573
ED, 0.062  , 0.00384,     2145,      133,     2012
EE, 0.04563, 0.00208,     3024,      138,     2886
EF, 0.07157, 0.00512,     1467,      105,     1362
EG, 0.05236, 0.00274,     2368,      124,     2244
