key, propensity
AAA,0.07447
AAC,0.04348
AAD,0.01835
AAE,0.00735
AAF,0.09375
AAG,0.0625
AAH,0.10526
AAI,0.01852
AAK,0.06931
AAL,0.02484
AAM,0.07895
AAN,0.01754
AAP,0.03077
AAQ,0.05556
AAR,0.03261
AAS,0.06034
AAT,0.05618
AAV,0.08594
AAW,0.05
AAY,0.0566
AA_,0
ACA,0
ACC,0
ACD,0.04762
ACE,0
ACF,0
ACG,0.15789
ACH,0.07692
ACI,0.05263
ACK,0
ACL,0.02703
ACM,0.2
ACN,0
ACP,0.07143
ACQ,0.125
ACR,0.23077
ACS,0.11538
ACT,0.05556
ACV,0.17391
ACW,0
ACY,0
AC_,0
ADA,0
ADC,0.07407
ADD,0.08571
ADE,0.01031
ADF,0.01562
ADG,0.03846
ADH,0.09524
ADI,0.03252
ADK,0.06667
ADL,0.05263
ADM,0.04878
ADN,0.15909
ADP,0.04412
ADQ,0.04082
ADR,0.01266
ADS,0.02532
ADT,0.08451
ADV,0.07692
ADW,0
ADY,0.04167
AD_,0
AEA,0.05263
AEC,0.04167
AED,0.08929
AEE,0.06918
AEF,0.15278
AEG,0.05941
AEH,0.25806
AEI,0.08036
AEK,0.03205
AEL,0.04186
AEM,0.07895
AEN,0.03333
AEP,0.03846
AEQ,0.01099
AER,0.03
AES,0.04938
AET,0.02469
AEV,0.02817
AEW,0.03571
AEY,0.0411
AE_,0.125
AFA,0.04545
AFC,0.1875
AFD,0.13115
AFE,0.23404
AFF,0.06897
AFG,0.06349
AFH,0.06667
AFI,0.16667
AFK,0.20312
AFL,0.13333
AFM,0.14286
AFN,0.02381
AFP,0.16216
AFQ,0.10811
AFR,0.04762
AFS,0.10606
AFT,0.17143
AFV,0.05556
AFW,0
AFY,0.07692
AF_,0
AGA,0.08333
AGC,0.07143
AGD,0.01064
AGE,0.03371
AGF,0.07143
AGG,0.05
AGH,0.07895
AGI,0.06849
AGK,0.0404
AGL,0.02703
AGM,0
AGN,0.03922
AGP,0.01887
AGQ,0.09836
AGR,0.06557
AGS,0.05102
AGT,0.09756
AGV,0.01075
AGW,0.11538
AGY,0.0597
AG_,0
AHA,0.05263
AHC,0.23529
AHD,0.125
AHE,0.15625
AHF,0.10526
AHG,0.13953
AHH,0.2
AHI,0.06667
AHK,0.16667
AHL,0.04
AHM,0.18182
AHN,0.05882
AHP,0.14286
AHQ,0.12903
AHR,0.03448
AHS,0.10811
AHT,0.21429
AHV,0.125
AHW,0.16667
AHY,0.13043
AH_,0
AIA,0.0339
AIC,0.14286
AID,0.08
AIE,0.04598
AIF,0.05128
AIG,0.01818
AIH,0.08696
AII,0.07843
AIK,0.06329
AIL,0.12222
AIM,0.16
AIN,0.08163
AIP,0.04255
AIQ,0.02778
AIR,0.12987
AIS,0.06557
AIT,0.11842
AIV,0.09524
AIW,0
AIY,0.07895
AI_,0
AKA,0.05063
AKC,0.04167
AKD,0.02222
AKE,0.02941
AKF,0.11111
AKG,0.0463
AKH,0.05556
AKI,0.08163
AKK,0.08257
AKL,0.07692
AKM,0.02222
AKN,0.02857
AKP,0
AKQ,0.04615
AKR,0.02899
AKS,0.04938
AKT,0.06897
AKV,0.07895
AKW,0.11111
AKY,0.05357
AK_,0.09091
ALA,0.05
ALC,0.09091
ALD,0.07143
ALE,0.05521
ALF,0.10145
ALG,0.06452
ALH,0.11628
ALI,0.05102
ALK,0.08844
ALL,0.05495
ALM,0.04
ALN,0.08108
ALP,0.0297
ALQ,0.0625
ALR,0.05385
ALS,0.06015
ALT,0.04255
ALV,0.09524
ALW,0.03448
ALY,0.06667
AL_,0
AMA,0
AMC,0.11111
AMD,0.02703
AME,0.05263
AMF,0
AMG,0.18605
AMH,0.04762
AMI,0.20833
AMK,0
AML,0.12245
AMM,0.07692
AMN,0
AMP,0.14286
AMQ,0.17391
AMR,0.08333
AMS,0.11429
AMT,0.04
AMV,0.08571
AMW,0
AMY,0.16667
AM_,0
ANA,0
ANC,0.125
AND,0.0625
ANE,0.01818
ANF,0.06122
ANG,0.1125
ANH,0.07143
ANI,0.09459
ANK,0.05882
ANL,0.07143
ANM,0.05
ANN,0.05172
ANP,0.05357
ANQ,0
ANR,0
ANS,0.10204
ANT,0.09091
ANV,0.08955
ANW,0
ANY,0.15789
AN_,0
APA,0
APC,0
APD,0.025
APE,0.01316
APF,0.16667
APG,0.06024
APH,0
API,0.04225
APK,0.06122
APL,0.01786
APM,0.10526
APN,0.04545
APP,0.0625
APQ,0.03333
APR,0.12766
APS,0.02632
APT,0.0137
APV,0.05
APW,0.07143
APY,0.06897
AP_,0
AQA,0.10345
AQC,0.16
AQD,0.07273
AQE,0.03614
AQF,0.11364
AQG,0.03614
AQH,0.02857
AQI,0.17391
AQK,0.04054
AQL,0.01754
AQM,0.18182
AQN,0.04545
AQP,0.02703
AQQ,0.0875
AQR,0.06494
AQS,0.07692
AQT,0.08065
AQV,0.11765
AQW,0.14286
AQY,0.02381
AQ_,0
ARA,0.01818
ARC,0
ARD,0.10588
ARE,0.07692
ARF,0.05882
ARG,0.1125
ARH,0.03846
ARI,0.11905
ARK,0.08824
ARL,0.06475
ARM,0.16
ARN,0.08621
